SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,16 01 2026 14-38-03.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,SUGAR SURFACE ENERGY 16JAN2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,Sugar Fines 0.5m^2,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,1037.31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.005,DECANE,dG (kJ/Mol),,,,,43.88287465,53.66911195,303.1484249,,,,,,,,,,,,,,,,,,
0.005,NONANE,dG (kJ/Mol),,,,,13.90574298,17.30099159,303.1520919,,,,,,,,,,,,,,,,,,
0.005,OCTANE,dG (kJ/Mol),,,,,4.407461488,5.334290951,303.1481995,,,,,,,,,,,,,,,,,,
0.005,HEPTANE,dG (kJ/Mol),,,,,1.432116841,1.716903144,303.1496424,,,,,,,,,,,,,,,,,,
0.005,ETHYL ACETATE,dG (kJ/Mol),12.54293639,13.11273326,11.11902954,11.67671771,5.600265882,8.212279646,303.1517169,,,,,,,,,,,,,,,,,,
0.005,DICHLOROMETHANE,dG (kJ/Mol),6.490990523,7.779732575,6.667624804,7.956349544,0.226916324,0.439832765,303.148953,,,,,,,,,,,,,,,,,,
0.005,ACETONE,dG (kJ/Mol),10.13960191,11.37133149,11.81121108,13.05450797,1.665867074,3.17018076,303.1421286,,,,,,,,,,,,,,,,,,
0.005,ACETONITRILE,dG (kJ/Mol),11.80665814,14.73861771,14.49506403,17.44619893,1.394449229,5.175680007,303.1494926,,,,,,,,,,,,,,,,,,
0.005,ETHANOL,dG (kJ/Mol),13.00708201,14.00209362,18.68372631,19.72118738,11.32930293,19.7459708,303.1491944,,,,,,,,,,,,,,,,,,
0.01,DECANE,dG (kJ/Mol),,,,,38.45898505,49.09900836,303.1484249,,,,,,,,,,,,,,,,,,
0.01,NONANE,dG (kJ/Mol),,,,,12.39859049,15.65337392,303.1520919,,,,,,,,,,,,,,,,,,
0.01,OCTANE,dG (kJ/Mol),,,,,4.035188595,5.028230485,303.1481995,,,,,,,,,,,,,,,,,,
0.01,HEPTANE,dG (kJ/Mol),,,,,1.319404793,1.630277489,303.1496424,,,,,,,,,,,,,,,,,,
0.01,ETHYL ACETATE,dG (kJ/Mol),12.08032908,12.83879897,10.67952898,11.4238928,4.561569062,7.344507828,303.1517169,,,,,,,,,,,,,,,,,,
0.01,DICHLOROMETHANE,dG (kJ/Mol),6.39124294,7.714827591,6.566419866,7.891441906,0.216133919,0.432050984,303.148953,,,,,,,,,,,,,,,,,,
0.01,ACETONE,dG (kJ/Mol),9.932522996,11.18682071,11.57946125,12.8497744,1.507716919,2.947898186,303.1421286,,,,,,,,,,,,,,,,,,
0.01,ACETONITRILE,dG (kJ/Mol),11.43124767,14.22128328,14.0794456,16.89535605,1.196027016,4.265639833,303.1494926,,,,,,,,,,,,,,,,,,
0.01,ETHANOL,dG (kJ/Mol),12.57680498,13.63418876,18.16673121,19.27915354,9.27187765,16.89374525,303.1491944,,,,,,,,,,,,,,,,,,
0.025,DECANE,dG (kJ/Mol),,,,,32.4708908,43.11166508,303.1484249,,,,,,,,,,,,,,,,,,
0.025,NONANE,dG (kJ/Mol),,,,,10.66222486,13.60529113,303.1520919,,,,,,,,,,,,,,,,,,
0.025,OCTANE,dG (kJ/Mol),,,,,3.565155045,4.485319848,303.1481995,,,,,,,,,,,,,,,,,,
0.025,HEPTANE,dG (kJ/Mol),,,,,1.202342297,1.512409062,303.1496424,,,,,,,,,,,,,,,,,,
0.025,ETHYL ACETATE,dG (kJ/Mol),10.89958908,12.16822226,9.530533437,10.77660003,2.812830269,5.483590684,303.1517169,,,,,,,,,,,,,,,,,,
0.025,DICHLOROMETHANE,dG (kJ/Mol),5.703323287,7.346276111,5.874317394,7.519317197,0.165006286,0.368561799,303.148953,,,,,,,,,,,,,,,,,,
0.025,ACETONE,dG (kJ/Mol),9.003361081,10.59544494,10.61260575,12.2298707,1.033266453,2.281050466,303.1421286,,,,,,,,,,,,,,,,,,
0.025,ACETONITRILE,dG (kJ/Mol),10.57960091,13.20161285,13.16726943,15.83006267,0.861316984,2.824200909,303.1494926,,,,,,,,,,,,,,,,,,
0.025,ETHANOL,dG (kJ/Mol),11.48599123,12.86078992,16.94842393,18.41030415,5.856306512,12.00434967,303.1491944,,,,,,,,,,,,,,,,,,
0.05,DECANE,dG (kJ/Mol),,,,,29.1592043,39.57405319,303.1484249,,,,,,,,,,,,,,,,,,
0.05,NONANE,dG (kJ/Mol),,,,,9.654986285,12.56517541,303.1520919,,,,,,,,,,,,,,,,,,
0.05,OCTANE,dG (kJ/Mol),,,,,3.28923205,4.191277121,303.1481995,,,,,,,,,,,,,,,,,,
0.05,HEPTANE,dG (kJ/Mol),,,,,1.132481788,1.442484546,303.1496424,,,,,,,,,,,,,,,,,,
0.05,ETHYL ACETATE,dG (kJ/Mol),9.827437899,11.49577912,8.478495118,10.11949224,1.817335773,4.152359741,303.1517169,,,,,,,,,,,,,,,,,,
0.05,DICHLOROMETHANE,dG (kJ/Mol),5.681119649,7.056475686,5.849527587,7.227039609,0.16355106,0.327743129,303.148953,,,,,,,,,,,,,,,,,,
0.05,ACETONE,dG (kJ/Mol),8.196115314,9.781909206,9.781589385,11.39733013,0.744280985,1.637921089,303.1421286,,,,,,,,,,,,,,,,,,
0.05,ACETONITRILE,dG (kJ/Mol),10.02891724,12.62301863,12.57839044,15.22111983,0.695123603,2.246811897,303.1494926,,,,,,,,,,,,,,,,,,
0.05,ETHANOL,dG (kJ/Mol),10.58350412,12.3276698,15.96540398,17.81384369,4.017398343,9.551581231,303.1491944,,,,,,,,,,,,,,,,,,
0.1,DECANE,dG (kJ/Mol),,,,,25.73110756,34.49083886,303.1484249,,,,,,,,,,,,,,,,,,
0.1,NONANE,dG (kJ/Mol),,,,,8.586737094,11.11825102,303.1520919,,,,,,,,,,,,,,,,,,
0.1,OCTANE,dG (kJ/Mol),,,,,2.958341545,3.700083441,303.1481995,,,,,,,,,,,,,,,,,,
0.1,HEPTANE,dG (kJ/Mol),,,,,1.050316347,1.351914016,303.1496424,,,,,,,,,,,,,,,,,,
0.1,ETHYL ACETATE,dG (kJ/Mol),8.68460474,10.6578578,7.354635818,9.305017164,1.11892642,2.938523047,303.1517169,,,,,,,,,,,,,,,,,,
0.1,DICHLOROMETHANE,dG (kJ/Mol),5.676795328,6.894477021,5.841525526,7.057762445,0.159982554,0.307849249,303.148953,,,,,,,,,,,,,,,,,,
0.1,ACETONE,dG (kJ/Mol),7.323880517,9.372650602,8.884772635,10.95293101,0.512029246,1.380632308,303.1421286,,,,,,,,,,,,,,,,,,
0.1,ACETONITRILE,dG (kJ/Mol),9.75096195,11.69908584,12.26139902,14.24231637,0.612511298,1.568407668,303.1494926,,,,,,,,,,,,,,,,,,
0.1,ETHANOL,dG (kJ/Mol),9.71265836,11.58157578,15.01384054,16.95752665,2.735362037,6.942607654,303.1491944,,,,,,,,,,,,,,,,,,
0.14,DECANE,dG (kJ/Mol),,,,,23.2812699,32.85478215,303.1484249,,,,,,,,,,,,,,,,,,
0.14,NONANE,dG (kJ/Mol),,,,,8.03017657,11.38974928,303.1520919,,,,,,,,,,,,,,,,,,
0.14,OCTANE,dG (kJ/Mol),,,,,2.769467552,3.612387121,303.1481995,,,,,,,,,,,,,,,,,,
0.14,HEPTANE,dG (kJ/Mol),,,,,0.986800669,1.316935994,303.1496424,,,,,,,,,,,,,,,,,,
0.14,ETHYL ACETATE,dG (kJ/Mol),8.139062981,10.5665228,6.822996471,9.212942677,0.882548114,2.802567017,303.1517169,,,,,,,,,,,,,,,,,,
0.14,DICHLOROMETHANE,dG (kJ/Mol),5.543117702,6.951109518,5.705717586,7.11055311,0.149781108,0.311713265,303.148953,,,,,,,,,,,,,,,,,,
0.14,ACETONE,dG (kJ/Mol),6.988783919,8.919968341,8.532648098,10.49426191,0.44015967,1.141302824,303.1421286,,,,,,,,,,,,,,,,,,
0.14,ACETONITRILE,dG (kJ/Mol),9.762944442,11.26138398,12.24614863,13.79646664,0.609347812,1.305813849,303.1494926,,,,,,,,,,,,,,,,,,
0.14,ETHANOL,dG (kJ/Mol),9.239755612,11.24677228,14.48395827,16.6105936,2.209097642,6.007292991,303.1491944,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispersive Surface Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Disp. Surf. En. (mJ/m^2) - Stz & Max,Disp. Surf. En. (mJ/m^2) - Stz & Com,Disp. Surf. En. (mJ/m^2) - DnG & Max,Disp. Surf. En. (mJ/m^2) - DnG & Com,,,,,,,,,,,,,,,,,,,,,,,
0.005,46.03043121,46.74723478,45.27286197,45.96904041,,,,,,,,,,,,,,,,,,,,,,,
0.01,44.61143958,45.49972394,43.88496457,44.75697349,,,,,,,,,,,,,,,,,,,,,,,
0.025,42.6031258,43.98500471,41.90829264,43.26366829,,,,,,,,,,,,,,,,,,,,,,,
0.05,41.35736987,42.99596142,40.68254805,42.28784754,,,,,,,,,,,,,,,,,,,,,,,
0.1,40.14670552,41.35549291,39.48491469,40.65136448,,,,,,,,,,,,,,,,,,,,,,,
0.14,39.2946743,41.23197932,38.6446057,40.50842435,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injection Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Injection Name,Solvent,Injection Time [ms],Duration [min],Target Fractional Surface Coverage,Actual Fractional Surface Coverage,Column Temperature [Kelvin],Column Pressure Drop [Torr],Exit Flow Rate [sccm],Peak Area [µV•min],Peak Max (Signal) [µV],Peak Max (Time) [min],Peak Com [min],Peak Com/Max,Ret Volume (Max) [ml/g],Ret Volume (Com) [ml/g],Net Ret Time (Max) [min],Sp. Ret Volume (Max) [ml/g],Net Ret Time (Com) [min],Sp. Ret Volume (Com) [ml/g],Partial Pressure [Torr],Pres Ret Volume (Max) [mMol/(g•Torr)],Pres Ret Volume (Com) [mMol/(g•Torr)],Injected Amount  [mMol/g],Injected Amount  [mMol],Adsorbed Amount (Max) [mMol/g],Adsorbed Amount  (Com) [mMol/g]
1,methaneInjection1,Methane,3000,3,n/a,0,303.1495251,398.4364471,9.994999886,10471.91423,141232.9327,0.466516667,0.476224125,1.020808386,3.896667769,3.977751135,0,0,0,0,0,0,0,0,0,0,0
2,methaneInjection2,Methane,3000,3,n/a,0,303.1507954,399.2661896,10.00500011,10496.73078,141586.1872,0.4665,0.473905182,1.015873917,3.898574792,3.960460443,0,0,0,0,0,0,0,0,0,0,0
3,injection1,DECANE,2058,60,0.005,0.005061783,303.1490797,399.2805634,9.992499828,182.3792976,100.8817386,5.716383,6.89865977,1.206822526,47.71188008,57.57977163,5.249462167,43.81471805,6.423143454,53.61086726,0.005010824,0.002317554,0.002835715,5.12274271162985E-06,5.31387224220076E-06,1.16128535908212E-05,1.42092698566814E-05
4,injection2,DECANE,3905,60,0.01,0.009799165,303.1442598,399.1803894,10,344.1573731,197.8882415,5.086583,6.358916593,1.250135227,42.48889282,53.11686166,4.619662167,38.58864205,5.883400277,49.14481171,0.010076152,0.002041156,0.002599527,9.91717696239597E-06,1.0287186834863E-05,2.19519777641704E-05,2.73767275260835E-05
5,injection3,DECANE,4759,60,0.0125,0.012257722,303.1429895,399.423645,9.997499943,425.3505711,251.0043335,4.898317,6.294087049,1.284948902,40.90013614,52.55458501,4.431396167,37.00142447,5.818570733,48.58410248,0.012938839,0.001957208,0.002569879,1.24053430735784E-05,1.28681864236536E-05,2.75548509707682E-05,3.47334866233135E-05
6,injection4,DECANE,8503,60,0.025,0.023812679,303.1569647,398.9228516,9.997499943,787.7261712,533.3941542,4.375067,5.658162055,1.293274378,36.54333587,47.26055999,3.908146167,32.64331678,5.182645739,43.28874597,0.028842477,0.001726604,0.002289673,2.40994572451143E-05,2.49986079949295E-05,5.50141385626711E-05,7.11476210435967E-05
7,injection5,DECANE,14642,60,0.05,0.045832816,303.1475948,399.3091583,10.005,1423.365994,1068.813453,3.990467,5.262599585,1.318792909,33.34744617,43.97837555,3.523546167,29.4454925,4.787083269,40.00459134,0.061515918,0.00155751,0.00211603,4.63847844664775E-05,4.81154007749218E-05,0.000105903,0.000140286
8,injection6,DECANE,30059,60,0.1,0.097441291,303.1493296,399.0230408,9.994999828,2842.840624,2132.835332,3.568767,4.62799613,1.296805348,29.79867749,38.64308433,3.101846167,25.89995748,4.152479815,34.67259331,0.130800012,0.001369962,0.001833985,9.86147844089776E-05,0.000102294,0.00020082,0.000267352
9,injection7,DECANE,54710,60,0.14,0.142859644,303.1554655,399.0086975,10.005,4327.755216,3145.484671,3.235567,4.419187386,1.365815446,27.04430857,36.93753438,2.768646167,23.1415765,3.94367107,32.96295744,0.185592358,0.001224034,0.001743519,0.00014458,0.000149974,0.000269312,0.000361785
10,injection8,DECANE,46249,60,0.18,0.128928274,303.1417154,398.9085999,9.992499828,3808.545056,2811.007828,3.320517,4.360943586,1.313332709,27.7200275,36.40561881,2.853596167,23.82212295,3.885427271,32.43595826,0.170301985,0.001260088,0.001715723,0.000130481,0.000135349,0.000250596,0.000335126
11,injection9,NONANE,703,40,0.005,0.005232298,303.1533445,397.7640381,9.994999886,166.5355373,316.0973182,2.1226,2.536734619,1.195107236,17.73652562,21.19705011,1.655679167,13.83491754,2.061218303,17.22361785,0.019314278,0.00073178,0.00091102,5.7557728122081E-06,5.97052069583158E-06,1.41337927558908E-05,1.75956990376872E-05
12,injection10,NONANE,1379,40,0.01,0.009838404,303.1517052,398.7798004,10.00250006,313.0500351,607.2044133,1.9543,2.352834264,1.203926861,16.33278372,19.66347703,1.487379167,12.4305594,1.877317948,15.6894172,0.037084479,0.000657501,0.000829875,1.08227055744385E-05,1.12265007194208E-05,2.58177250386711E-05,3.23427496022514E-05
13,injection11,NONANE,1706,40,0.0125,0.012196759,303.1530546,398.651062,9.997499943,388.0375535,769.8258609,1.89935,2.309785558,1.216092641,15.86686232,19.29557451,1.432429167,11.96628129,1.815449123,15.16596798,0.047046401,0.000632941,0.000802184,1.34170066030159E-05,1.39175951193744E-05,3.21229907394709E-05,4.03339922769133E-05
14,injection12,NONANE,3252,40,0.025,0.024434173,303.1519903,399.022995,9.999999943,776.8986204,1739.184658,1.746067,2.106991562,1.206707166,14.58682356,17.60202452,1.279146167,10.68611882,1.631475246,13.62951224,0.106324633,0.000565231,0.000720918,2.68787341621539E-05,2.78815797337439E-05,6.56288969914284E-05,8.30687930973355E-05
15,injection13,NONANE,5969,40,0.05,0.047521133,303.1507601,398.2934113,9.992499828,1509.991558,3692.448534,1.62945,1.964748613,1.205774103,13.60806148,16.40824813,1.162529167,9.708655293,1.51337303,12.63866533,0.226051727,0.000513531,0.000668511,5.22754712913648E-05,5.42258691252456E-05,0.000127113,0.000163108
16,injection14,NONANE,10521,40,0.1,0.088718322,303.1499304,398.8942871,10.00250006,2820.361488,6592.45023,1.519467,1.838338715,1.209857611,12.69781494,15.36254805,1.052546167,8.795871471,1.3628224,11.38877424,0.402996941,0.000465251,0.000602401,9.7594309562782E-05,0.000101236,0.000209436,0.0002697
17,injection15,NONANE,13947,40,0.14,0.119273023,303.1537851,398.8799438,9.989999771,3798.1607,8501.875852,1.4529,1.752233403,1.20602478,12.12661194,14.6249945,0.985979167,8.229462961,1.276717087,10.65610343,0.519485078,0.000435286,0.00056364,0.000131206,0.000136101,0.000260142,0.000335357
18,injection16,NONANE,14838,40,0.15,0.127557515,303.1521648,398.8083954,9.994999886,4064.678392,8985.91278,1.442833,1.786662753,1.238301836,12.04904879,14.92035924,0.975912167,8.149808962,1.311146438,10.94933884,0.548421124,0.000431075,0.000579153,0.000140319,0.000145555,0.000272616,0.000352115
19,injection17,OCTANE,288,15,0.005,0.005821872,303.1504845,397.9356995,10.01,199.8453968,1105.826241,0.986317,1.107003342,1.122360602,8.253174412,9.263037806,0.519396167,4.346135322,0.631487027,5.284074564,0.068514863,0.000229885,0.000279497,7.01426868598451E-06,7.27597105065859E-06,1.57505531217519E-05,1.91496791873386E-05
20,injection18,OCTANE,570,15,0.01,0.009960386,303.1458248,398.8799591,10.00999994,342.0114184,1910.543018,0.949683,1.07712158,1.134190651,7.942177869,9.007943888,0.482762167,4.037329294,0.601605265,5.031211487,0.118337323,0.000213554,0.000266126,1.2000404013461E-05,1.24481390872033E-05,2.63903609332811E-05,3.24087223256252E-05
21,injection19,OCTANE,709,15,0.0125,0.011845516,303.149795,399.0659027,9.999999943,406.7983659,2298.287364,0.938017,1.060798917,1.130895194,7.836039711,8.86173965,0.471096167,3.935459879,0.585282602,4.889354575,0.142476278,0.000208163,0.000258619,1.42716339200303E-05,1.48041085815866E-05,3.14152064832641E-05,3.86515128333846E-05
22,injection20,OCTANE,1384,15,0.025,0.022276819,303.1491951,398.8370514,9.992499828,765.6261726,4666.529611,0.898017,1.016612315,1.132063552,7.497235767,8.487347352,0.431096167,3.599073959,0.541095999,4.517424814,0.289280883,0.000190371,0.000238946,2.68394057622513E-05,2.78407839912409E-05,5.93625199549993E-05,7.37299493396078E-05
23,injection21,OCTANE,2636,15,0.05,0.043150386,303.1484102,398.8656464,10.00500006,1485.375747,9787.427975,0.866383,0.986506369,1.138649268,7.242044374,8.246148529,0.399462167,3.33908068,0.510990054,4.271335707,0.605011019,0.000176619,0.00022593,5.19881540225639E-05,5.39278320491457E-05,0.000115126,0.000145063
24,injection22,OCTANE,4811,15,0.1,0.083720498,303.1462654,398.651062,9.994999828,2891.10194,18395.77691,0.831383,0.93017983,1.118834315,6.943346625,7.768454467,0.364462167,3.043828362,0.454663514,3.797150502,1.134663771,0.000161003,0.00020085,0.000100868,0.000104631,0.000200402,0.000251444
25,injection23,OCTANE,6296,15,0.14,0.113047669,303.1472153,399.0086975,9.992499828,3913.152202,23961.8872,0.8131,0.909438695,1.118483207,6.787575658,7.591789388,0.346179167,2.88982571,0.43392238,3.622286291,1.474840959,0.000152857,0.0001916,0.000136201,0.000141283,0.0002524,0.000316622
26,injection24,OCTANE,7613,15,0.18,0.140043707,303.1484055,398.8656464,10.01000006,4858.559965,29030.6109,0.79805,0.907457006,1.137092921,6.674186514,7.589170241,0.331129167,2.769272375,0.43194069,3.612371068,1.779678582,0.000146479,0.000191075,0.000168727,0.000175022,0.000297053,0.000374868
27,injection25,HEPTANE,118,15,0.005,0.006174942,303.1497149,397.5780945,10,265.7119047,2748.360994,0.634783,0.67870455,1.06919144,5.307430852,5.674659635,0.167862167,1.40349827,0.203188234,1.698860089,0.149501319,7.42370583668272E-05,8.98600149707792E-05,8.17972170958176E-06,8.48490712656626E-06,1.10985381452602E-05,1.34341907643864E-05
28,injection26,HEPTANE,235,15,0.01,0.009623263,303.1521496,398.0931091,9.999999943,414.0283692,4311.041544,0.624783,0.672428075,1.076258597,5.222308452,5.620554366,0.157862167,1.319506016,0.196911759,1.64590577,0.234543748,6.97937863602873E-05,8.70583341883091E-05,1.27475879549184E-05,1.32232004615164E-05,1.70339712349084E-05,2.0837842929115E-05
29,injection27,HEPTANE,293,15,0.0125,0.011226405,303.1508755,398.6510468,9.999999943,482.9651102,5051.00873,0.624783,0.664533463,1.063622831,5.220603685,5.55275327,0.157862167,1.319075277,0.189017148,1.579402156,0.274822596,6.97712961601277E-05,8.35410514195485E-05,1.48712111985331E-05,1.54260560883504E-05,1.98442786821603E-05,2.4202780258311E-05
